アンケート回答日,居住都道府県,性別,年代,職種,世帯年収,同行者,宿泊数（全行程）,宿泊エリア（県外）,宿泊数（県内）,宿泊市町村(1泊目),食事の組み合わせ（1泊目）,宿泊市町村(2泊目),食事の組み合わせ（2泊目）,宿泊市町村(3泊目),食事の組み合わせ（3泊目）,宿泊市町村(4泊目),食事の組み合わせ（4泊目）,交通手段（来県）,交通手段（県内）,満足度（交通）,来県回数,訪問目的,情報源（デジタル）,情報源（デジタル以外）,比較した都道府県の有無,比較した都道府県,比較した都道府県の観光地,消費金額（交通費）,消費金額（飲食費）,消費金額（宿泊費）,消費金額（買い物（工芸品・特産品等）費）,消費金額（観光・体験費）,訪問場所,訪問した寿司店形態,訪問したます寿し店形態,海の幸（食べた）,海の幸（感動した）,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所
2025/04/28,福井県,男性,40代,会社員,3: 600〜1000万円,ひとり,4泊以上,富山県以外には宿泊しない,4泊以上,魚津市,食事なし（素泊まり）,魚津市,食事なし（素泊まり）,魚津市,食事なし（素泊まり）,魚津市,食事なし（素泊まり）,自家用車,自家用車,,１回目,"スキルアップや視野を広げるための研修・セミナーに参加する, 出張など仕事関係",宿泊予約Webサイト,口コミ（同僚・同級生）,ない,,,"20,000円以上30,000円未満","20,000円以上30,000円未満","30,000円以上40,000円未満","5,000円以上10,000円未満",使わない,"富山城, 海の駅",持ち帰り（道の駅・スーパーなど）,食べていない,"甘エビ, バイガイ",バイガイ,大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,ストレスなし,,五半屋さんの美味しくリーズナブルなメニュー,,10,来年もまた行きたい,海産物をとにかく食べたい,宿泊先
2025/04/29,富山県,女性,40代,会社員,3: 600〜1000万円,夫婦,1泊,富山県以外には宿泊しない,1泊,富山市,夕・朝２食付き,,,,,,,県外から訪れていない（富山県在住）,自家用車,,１０回目以上,宿でのんびり過ごす,まとめサイト,"旅行ガイドブック,",ある,石川県,温泉地,"1,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満",使わない,使わない,観光しない,食べていない,食べていない,食べていない,食べていない,満足,満足,普通,普通,普通,,,,,7,富山県在住,,高岡市,
2025/04/29,愛知県,女性,50代,専業主婦・主夫,4: 1000〜2000万円,大人の家族（18歳以上の子供含む）,3泊,岐阜県,1泊,魚津市,夕・朝２食付き,,,,,,,自家用車,自家用車,,５回目,"宿でのんびり過ごす, 地元の美味しいものを食べる",宿泊予約Webサイト,特に無し,ない,,,使わない,"5,000円以上10,000円未満","20,000円以上30,000円未満","1,000円以上3,000円未満","1,000円以上3,000円未満","新湊大橋, ほたるいかミュージアム",回転寿司店（地元）,食べていない,"シロエビ, 甘エビ, ホタルイカ, バイガイ","シロエビ, ホタルイカ",大いに満足,大いに満足,普通,満足,満足,食事は美味しいし、富山の雰囲気が好きだから,食べたいものがありすぎて、選択に困ること。贅沢ですが。,海鮮です。ホタルイカは地元にも売ってますが、全然違う。,息子が富山大学に通っていて、今回顔を見るついでに家族で旅行しています。質問の意図とは外れると思いますが息子の元気な顔が見られたことです。,10,来年もまた行きたい,美味しい海鮮を食べて、温泉につかることです。,宿泊先
2025/04/29,石川県,女性,70代,パート・アルバイト,1: 300万円未満,大人の家族（18歳以上の子供含む）,1泊,石川県,1泊,砺波市,夕・朝２食付き,,,,,,,自家用車,自家用車,満足,２回目,温泉や露天風呂,富山県観光公式サイト「とやま観光ナビ」,観光展・物産展,ある,福井県,あわら,"5,000円以上10,000円未満","5,000円以上10,000円未満","20,000円以上30,000円未満","3,000円以上5,000円未満","3,000円以上5,000円未満","砺波チューリップ公園,",食べていない,食べていない,"シロエビ, ホタルイカ","シロエビ, ホタルイカ",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,,,,,10,来年もまた行きたい,,宿泊先
2025/04/29,愛知県,男性,60代,会社員,4: 1000〜2000万円,夫婦,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,,４回目,"温泉や露天風呂, 地元の美味しいものを食べる","Facebook, 富山県観光公式サイト「とやま観光ナビ」","観光展・物産展, 雑誌の特集記事",ない,,,"30,000円以上40,000円未満","10,000円以上20,000円未満","10,000円以上20,000円未満","5,000円以上10,000円未満","5,000円以上10,000円未満","雨晴海岸, 砺波チューリップ公園",食べていない,持ち帰り（道の駅・スーパーなど）,"ブリ, シロエビ, 甘エビ, ホタルイカ, ゲンゲ, ノドグロ","ブリ, ホタルイカ",満足,満足,満足,普通,満足,訪れた造り酒屋の話がたのしく、試飲しながら良いお酒がえらべた。夕食か美味しいかった,高速道路の無料、有料区間がわかりにくい,試飲したお酒,砺波チューリップ園,10,機会があれば行きたい,せっかく富山に日本酒がたくさんあるのに、宿で出てきた日本酒の種類が少なく、自分の好みではなかった,宿泊先
2025/04/29,愛知県,女性,60代,公務員,3: 600〜1000万円,夫婦,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,自家用車,自家用車,,３回目,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, アウトドア（海水浴、釣り、登山など）","富山県観光公式サイト「とやま観光ナビ」, 富山県内市町村の観光公式サイト",富山県観光公式のパンフレット,ない,,,使わない,"10,000円以上20,000円未満","20,000円以上30,000円未満","5,000円以上10,000円未満","1,000円以上3,000円未満","海王丸パーク, 新湊きっときと市場, 砺波チューリップ公園",食べていない,持ち帰り（道の駅・スーパーなど）,"ブリ, シロエビ, 甘エビ, ホタルイカ, ゲンゲ, バイガイ, ウニ　たい　ふぐ　まぐろ　かます","ブリ, シロエビ, 甘エビ, ホタルイカ, ゲンゲ, バイガイ, マグロの昆布締め",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,魚がおいしい‼️お酒がすすみまました‼️ 富山側からみる立山、北アルプスが迫力があります‼️チューリップも素敵です,特になし,ホタルイカのしゃぶしゃぶ、マグロの昆布締め,砺波のチューリップ園,10,来年もまた行きたい,,宿泊先
2025/04/29,石川県,女性,50代,会社員,4: 1000〜2000万円,大人の家族（18歳以上の子供含む）,1泊,神戸,1泊,砺波市,夕・朝２食付き,,,,,,,自家用車,自家用車,,１回目,"宿でのんびり過ごす, 温泉や露天風呂",宿泊予約Webサイト,旅行ガイドブック,ない,,,"20,000円以上30,000円未満","10,000円以上20,000円未満","100,000円以上","10,000円以上20,000円未満","10,000円以上20,000円未満","五箇山, 新湊きっときと市場, 砺波チューリップ公園",食べていない,食べていない,"シロエビ, ホタルイカ",ホタルイカ,大いに満足,大いに満足,普通,普通,大いに満足,家族の誕生日お祝いを兼ねての旅行だったので,,ホタルイカ,,10,機会があれば行きたい,,宿泊先
2025/04/29,富山県,男性,60代,自営業,3: 600〜1000万円,夫婦,1泊,富山県以外には宿泊しない,1泊,南砺市,夕・朝２食付き,,,,,,,県外から訪れていない（富山県在住）,"自家用車, 徒歩",普通,１０回目以上,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",宿泊予約Webサイト,旅行ガイドブック,ない,,,使わない,"1,000円以上3,000円未満","10,000円以上20,000円未満",使わない,"1,000円以上3,000円未満","五箇山, 庄川峡遊覧船",食べていない,食べていない,"ブリ, ホタルイカ","ブリ, ホタルイカ",大いに満足,大いに満足,普通,普通,普通,何回も来てる為,,ホタルイカ,相倉合掌集落,10,富山県在住,,砺波市,
2025/04/29,富山県,男性,50代,公務員,3: 600〜1000万円,子供連れ家族（一番下のお子様が小学生～高校生）,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,県外から訪れていない（富山県在住）,自家用車,,１０回目以上,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",宿泊施設のウェブサイト,口コミ（家族）,ない,,,"40,000円以上50,000円未満","5,000円以上10,000円未満","10,000円以上20,000円未満","1,000円以上3,000円未満",使わない,雨晴海岸,食べていない,食べていない,フクラギ（イナダ、ハマチ）,フクラギ（イナダ、ハマチ）,普通,普通,普通,普通,普通,,,,,5,富山県在住,,氷見市,
2025/04/29,富山県,女性,50代,会社員,6: 無回答,子供連れ家族（一番下のお子様が小学生～高校生）,1泊,富山県以外には宿泊しない,1泊,氷見市,夕・朝２食付き,,,,,,,県外から訪れていない（富山県在住）,自家用車,,１回目,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",知人の紹介,口コミ（家族）,ない,,,"30,000円以上40,000円未満","10,000円以上20,000円未満","30,000円以上40,000円未満",使わない,使わない,石川県へ,食べていない,食べていない,鰆,どれにも感動していない,普通,普通,普通,普通,普通,お風呂が気持ちよかったふ,,,,6,来年もまた行きたい,,宿泊先
2025/04/29,東京都,女性,50代,医療機関職員,4: 1000〜2000万円,夫婦,2泊,富山県以外には宿泊しない,2泊,富山市,食事なし（素泊まり）,富山市,食事なし（素泊まり）,,,,,飛行機,"レンタカー, 路線バス",満足,５回目,地元の美味しいものを食べる,Google,口コミ（家族）,ない,,,"50,000円以上100,000円未満","30,000円以上40,000円未満","20,000円以上30,000円未満","10,000円以上20,000円未満","1,000円未満",立山黒部アルペンルート,専門店,食べていない,"ブリ, 紅ズワイガニ, シロエビ, 甘エビ, ホタルイカ, あゆ、ふぐ白子","ブリ, 紅ズワイガニ, シロエビ, ふぐ白子",大いに満足,大いに満足,大いに満足,大いに満足,大いに満足,美味しいものが食べられた,,マフグ白子,,10,来年もまた行きたい,旬のものを季節ごとに味わいたい,富山市,富山市まちなか観光案内所
